video_id,text,likes,comments,shares_retweets,post_datetime,platform,author_id,description,engagement_score
h55hDC5N96I,قولولنا في الكومنتات تفتكروا مين هيكسب الموسم الجديد 🤭,2202,165,0,2025-08-18T19:23:52Z,youtube,UC8J_3JJ-Sjv7kUocEiEZcnQ,قولولنا في الكومنتات تفتكروا مين هيكسب الموسم الجديد برامجنا: المنشر: بتحكولنا مشاكلكم الاجتماعية وقرارتكم المادية الصعبة ...,2202165
ptXc_Umr3h8,البرص: طب وانا مالي يا لمبي😂,1231,27,0,2025-08-18T17:18:26Z,youtube,UC8J_3JJ-Sjv7kUocEiEZcnQ,البرص: طب وانا مالي يا لمبي   برامجنا: المنشر: بتحكولنا مشاكلكم الاجتماعية وقرارتكم المادية الصعبة وبنساعدكوا فيها (ابعتولنا ...,123127
3otrN6ov5a0,حليم في اللعبة دي مابيهزرش😂,689,15,0,2025-08-18T14:45:27Z,youtube,UC8J_3JJ-Sjv7kUocEiEZcnQ,حليم في اللعبة دي مابيهزرش   برامجنا: المنشر: بتحكولنا مشاكلكم الاجتماعية وقرارتكم المادية الصعبة وبنساعدكوا فيها (ابعتولنا ...,68915
c90hFbvIBpk,مرتبة الشرف🛌🏻 حيوانات متدخلش عيد ميلاد ملك🥳,20347,1518,0,2025-08-17T18:00:06Z,youtube,UC8J_3JJ-Sjv7kUocEiEZcnQ,مرتبة الشرف     حيوانات متدخلش عيد ميلاد ملك   إحنا شركة بيس كيك.. صناع محتوى مهما كان بقى إعلانات.. برامج يوتيوب.. مزيكا.,203471518
1GnCvQv8uYo,طب ده كيوت والله,2032,32,0,2025-08-17T18:00:00Z,youtube,UC8J_3JJ-Sjv7kUocEiEZcnQ,طب ده كيوت والله برامجنا: المنشر: بتحكولنا مشاكلكم الاجتماعية وقرارتكم المادية الصعبة وبنساعدكوا فيها (ابعتولنا مشاكلكم في رسائل ...,203232
1ObXW-OOpqI,شاهين اشطر واحد في اللعبة ديه🤭,1769,28,0,2025-08-15T17:05:07Z,youtube,UC8J_3JJ-Sjv7kUocEiEZcnQ,شاهين اشطر واحد في اللعبة ديه   برامجنا: المنشر: بتحكولنا مشاكلكم الاجتماعية وقرارتكم المادية الصعبة وبنساعدكوا فيها (ابعتولنا ...,176928
UlzVOQFZ--c,يايا يضرب ولا يبالي 🤭😂,3871,46,0,2025-08-14T18:34:05Z,youtube,UC8J_3JJ-Sjv7kUocEiEZcnQ,يايا يضرب ولا يبالي برامجنا: المنشر: بتحكولنا مشاكلكم الاجتماعية وقرارتكم المادية الصعبة وبنساعدكوا فيها (ابعتولنا مشاكلكم ...,387146
nVz0RcJqgDQ,اللي فاكر فاكر👨🏻‍🏫عودة صاحب ال 220 الف لايك🥰,71083,2305,0,2025-08-14T18:00:06Z,youtube,UC8J_3JJ-Sjv7kUocEiEZcnQ,اللي فاكر فاكر    ‍  عودة صاحب ال 220 الف لايك   إحنا شركة بيس كيك.. صناع محتوى مهما كان بقى إعلانات.. برامج يوتيوب.. مزيكا.,710832305
bqVUvz5LLJY,تقييم اسامي عيال حازم راغب🌚,1568,28,0,2025-08-13T18:32:51Z,youtube,UC8J_3JJ-Sjv7kUocEiEZcnQ,تقييم اسامي عيال حازم راغب   برامجنا: المنشر: بتحكولنا مشاكلكم الاجتماعية وقرارتكم المادية الصعبة وبنساعدكوا فيها (ابعتولنا ...,156828
AwL_Om51nrQ,الموضوع صعب بيوصل للمخ على طول😂,2769,33,0,2025-08-12T18:39:32Z,youtube,UC8J_3JJ-Sjv7kUocEiEZcnQ,الموضوع صعب بيوصل للمخ على طول   برامجنا: المنشر: بتحكولنا مشاكلكم الاجتماعية وقرارتكم المادية الصعبة وبنساعدكوا فيها ...,276933
8S7VMgQW2Zg,مين كمان بيحب المانجا😉🫡,2359,53,0,2025-08-12T12:39:38Z,youtube,UC8J_3JJ-Sjv7kUocEiEZcnQ,مين كمان بيحب المانجا     برامجنا: المنشر: بتحكولنا مشاكلكم الاجتماعية وقرارتكم المادية الصعبة وبنساعدكوا فيها (ابعتولنا مشاكلكم ...,235953
pyyIObYQCzI,البرنامج اللي بنقيم في حاجات عاديه من وجهة نظر مش عاديه 🌚,1647,27,0,2025-08-11T17:43:40Z,youtube,UC8J_3JJ-Sjv7kUocEiEZcnQ,البرنامج اللي بنقيم في حاجات عاديه من وجهة نظر مش عاديه برامجنا: المنشر: بتحكولنا مشاكلكم الاجتماعية وقرارتكم المادية الصعبة ...,164727
eO2myrlv7fI,كله الا الموز😡,1728,27,0,2025-08-10T18:06:48Z,youtube,UC8J_3JJ-Sjv7kUocEiEZcnQ,كله الا الموز   برامجنا: المنشر: بتحكولنا مشاكلكم الاجتماعية وقرارتكم المادية الصعبة وبنساعدكوا فيها (ابعتولنا مشاكلكم في رسائل ...,172827
9xusc-3QkAU,مرتبة الشرف🛏️ أسامي تدمر مستقبل عيالك,20787,1054,0,2025-08-10T18:00:06Z,youtube,UC8J_3JJ-Sjv7kUocEiEZcnQ,إحنا شركة بيس كيك.. صناع محتوى مهما كان بقى إعلانات.. برامج يوتيوب.. مزيكا.. سكيتشات.. بنحب نعمل شغل لذيذ وخفيف على القلب.,207871054
KVhTvWESlHA,كلام منطقي عامة انا مقتنعه انت مقتنع؟,1394,59,0,2025-08-10T14:59:04Z,youtube,UC8J_3JJ-Sjv7kUocEiEZcnQ,كلام منطقي عامة انا مقتنعه انت مقتنع؟ برامجنا: المنشر: بتحكولنا مشاكلكم الاجتماعية وقرارتكم المادية الصعبة وبنساعدكوا فيها (ابعتولنا ...,139459
bEyaQh8dMWc,اللعبه ديه عمرها ما كانت صعبه😂,1947,34,0,2025-08-09T19:44:00Z,youtube,UC8J_3JJ-Sjv7kUocEiEZcnQ,اللعبه ديه عمرها ما كانت صعبه   برامجنا: المنشر: بتحكولنا مشاكلكم الاجتماعية وقرارتكم المادية الصعبة وبنساعدكوا فيها (ابعتولنا ...,194734
X6PA7edwx10,اللي فاكر فاكر👨🏻‍🏫يا بحر يا....,39569,1062,0,2025-07-31T18:00:06Z,youtube,UC8J_3JJ-Sjv7kUocEiEZcnQ,إحنا شركة بيس كيك.. صناع محتوى مهما كان بقى إعلانات.. برامج يوتيوب.. مزيكا.. سكيتشات.. بنحب نعمل شغل لذيذ وخفيف على القلب.,395691062
bhCsifO2hUg,عزيزي Chat GPT التحيه وبعد…,7041,59,0,2025-07-14T19:48:56Z,youtube,UC8J_3JJ-Sjv7kUocEiEZcnQ,إحنا شركة بيس كيك.. صناع محتوى مهما كان بقى إعلانات.. برامج يوتيوب.. مزيكا.. سكيتشات.. بنحب نعمل شغل لذيذ وخفيف على القلب.,704159
ODn7ZoSS4ME,اللي متفرجش مش هيعرف إجابات الاسئلة ديه 👀  اتفرج علي الايف النهارده الساعه ٨ عشان متفوتش اي حاجه 🥰,2094,66,0,2025-07-13T16:44:08Z,youtube,UC8J_3JJ-Sjv7kUocEiEZcnQ,إحنا شركة بيس كيك.. صناع محتوى مهما كان بقى إعلانات.. برامج يوتيوب.. مزيكا.. سكيتشات.. بنحب نعمل شغل لذيذ وخفيف على القلب.,209466
6aNiD8qMiLc,كل لما اخد خطوة ارجع اتنين 😔,5013,141,0,2025-07-06T19:14:09Z,youtube,UC8J_3JJ-Sjv7kUocEiEZcnQ,إحنا شركة بيس كيك.. صناع محتوى مهما كان بقى إعلانات.. برامج يوتيوب.. مزيكا.. سكيتشات.. بنحب نعمل شغل لذيذ وخفيف على القلب.,5013141
YCz_CnmiMDY,مش الكبسه ديه 😂,5152,44,0,2025-07-01T13:24:18Z,youtube,UC8J_3JJ-Sjv7kUocEiEZcnQ,إحنا شركة بيس كيك.. صناع محتوى مهما كان بقى إعلانات.. برامج يوتيوب.. مزيكا.. سكيتشات.. بنحب نعمل شغل لذيذ وخفيف على القلب.,515244
waBJse7RHNM,اللي فاكر فاكر👨🏻‍🏫ملك وبيكو جننوا المستر 😲,46194,1559,0,2025-06-12T18:00:06Z,youtube,UC8J_3JJ-Sjv7kUocEiEZcnQ,إحنا شركة بيس كيك.. صناع محتوى مهما كان بقى إعلانات.. برامج يوتيوب.. مزيكا.. سكيتشات.. بنحب نعمل شغل لذيذ وخفيف على القلب.,461941559
1D32vZMMTOE,اللي فاكر فاكر👨🏻‍🏫 موتوا حليم من الضحك🤭,38184,673,0,2025-06-05T18:00:06Z,youtube,UC8J_3JJ-Sjv7kUocEiEZcnQ,إحنا شركة بيس كيك.. صناع محتوى مهما كان بقى إعلانات.. برامج يوتيوب.. مزيكا.. سكيتشات.. بنحب نعمل شغل لذيذ وخفيف على القلب.,38184673
n2BSymxxhtw,الدنيا دوارة يا استاذ توفيق😂,1820,28,0,2025-06-03T18:15:45Z,youtube,UC8J_3JJ-Sjv7kUocEiEZcnQ,إحنا شركة بيس كيك.. صناع محتوى مهما كان بقى إعلانات.. برامج يوتيوب.. مزيكا.. سكيتشات.. بنحب نعمل شغل لذيذ وخفيف على القلب.,182028
cXa_sMlDYws,عبثيات الغيط✨,10359,107,0,2025-06-01T18:29:10Z,youtube,UC8J_3JJ-Sjv7kUocEiEZcnQ,إحنا شركة بيس كيك.. صناع محتوى مهما كان بقى إعلانات.. برامج يوتيوب.. مزيكا.. سكيتشات.. بنحب نعمل شغل لذيذ وخفيف على القلب.,10359107
fOW-C-MTfdA,الصحاب في اجازة👨🏻‍🍳الصحاب ولعوا في المطبخ🔥,51862,1607,0,2025-05-25T18:15:06Z,youtube,UC8J_3JJ-Sjv7kUocEiEZcnQ,إحنا شركة بيس كيك.. صناع محتوى مهما كان بقى إعلانات.. برامج يوتيوب.. مزيكا.. سكيتشات.. بنحب نعمل شغل لذيذ وخفيف على القلب.,518621607
2zJQq4w-ZzA,اللي فاكر فاكر👨🏻‍🏫 انضم لفريق انقاذ شنب المستر!,44519,1335,0,2025-05-22T18:00:06Z,youtube,UC8J_3JJ-Sjv7kUocEiEZcnQ,إحنا شركة بيس كيك.. صناع محتوى مهما كان بقى إعلانات.. برامج يوتيوب.. مزيكا.. سكيتشات.. بنحب نعمل شغل لذيذ وخفيف على القلب.,445191335
gvFXwT1xREM,اتوبيس كومبليت👨🏻‍🏫🚌الهمبوشه جننت المستر,25957,547,0,2025-05-18T18:00:06Z,youtube,UC8J_3JJ-Sjv7kUocEiEZcnQ,إحنا شركة بيس كيك.. صناع محتوى مهما كان بقى إعلانات.. برامج يوتيوب.. مزيكا.. سكيتشات.. بنحب نعمل شغل لذيذ وخفيف على القلب.,25957547
koGTE4yw3L0,الي لسه متفرجش علي الحلقه الاخيره فايته كتير,2488,25,0,2025-05-11T20:55:51Z,youtube,UC8J_3JJ-Sjv7kUocEiEZcnQ,إحنا شركة بيس كيك.. صناع محتوى مهما كان بقى إعلانات.. برامج يوتيوب.. مزيكا.. سكيتشات.. بنحب نعمل شغل لذيذ وخفيف على القلب.,248825
